INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,NODES
b2c1s1,cplex-default,29,Feasible,26083.2,70879
b2c1s1,cplex-polishing,29,Feasible,25716.92,50011
b2c1s1,maravilha,29,Feasible,25711.91923,52308
b2c1s1,none,29,Feasible,26083.2,50000
b2c1s1,rothberg,29,Feasible,25716.92,50019
b2c1s1,cplex-default,173,Feasible,26239.02,73411
b2c1s1,cplex-polishing,173,Feasible,25701.91,50013
b2c1s1,maravilha,173,Feasible,25687.91,50628
b2c1s1,none,173,Feasible,26239.02,50000
b2c1s1,rothberg,173,Feasible,25701.90999,50014
b2c1s1,cplex-default,281,Feasible,25917.72,80933
b2c1s1,cplex-polishing,281,Feasible,25687.91,50013
b2c1s1,maravilha,281,Feasible,25687.91,51165
b2c1s1,none,281,Feasible,25917.72,50000
b2c1s1,rothberg,281,Feasible,25917.72,52902
b2c1s1,cplex-default,409,Feasible,26113.13,75449
b2c1s1,cplex-polishing,409,Feasible,25789.63,50013
b2c1s1,maravilha,409,Feasible,25687.91,51467
b2c1s1,none,409,Feasible,26357.12,50000
b2c1s1,rothberg,409,Feasible,25857.17,50024
b2c1s1,cplex-default,541,Feasible,26201.07,76001
b2c1s1,cplex-polishing,541,Feasible,25789.63,50014
b2c1s1,maravilha,541,Feasible,25687.90994,53648
b2c1s1,none,541,Feasible,26201.07,50000
b2c1s1,rothberg,541,Feasible,25862.91999,50020
bab1,cplex-default,29,Feasible,-218706.04775,67219
bab1,cplex-polishing,29,Feasible,-218706.04775,50007
bab1,maravilha,29,Feasible,-218706.04775,50002
bab1,none,29,Feasible,-218706.04775,50000
bab1,rothberg,29,Feasible,-218706.04775,50003
bab1,cplex-default,173,Feasible,-218706.04775,69661
bab1,cplex-polishing,173,Feasible,-218764.88525,50006
bab1,maravilha,173,Feasible,-218764.88525,50003
bab1,none,173,Feasible,-218706.04775,50000
bab1,rothberg,173,Feasible,-218764.88525,50002
bab1,cplex-default,281,Feasible,-218706.04775,69001
bab1,cplex-polishing,281,Feasible,-218764.88525,50006
bab1,maravilha,281,Feasible,-218764.88525,50004
bab1,none,281,Feasible,-218706.04775,50000
bab1,rothberg,281,Feasible,-218764.88525,50002
bab1,cplex-default,409,Feasible,-218764.88525,67081
bab1,cplex-polishing,409,Feasible,-218764.88525,50006
bab1,maravilha,409,Feasible,-218764.88525,50007
bab1,none,409,Feasible,-218764.88525,50000
bab1,rothberg,409,Feasible,-218764.88525,50001
bab1,cplex-default,541,Feasible,-218764.88525,68517
bab1,cplex-polishing,541,Feasible,-218764.88525,50007
bab1,maravilha,541,Feasible,-218764.88525,50004
bab1,none,541,Feasible,-218764.88525,50000
bab1,rothberg,541,Feasible,-218764.88525,50002
bg512142,cplex-default,29,Feasible,206168,72776
bg512142,cplex-polishing,29,Feasible,191175.5,50001
bg512142,maravilha,29,Feasible,185414,50156
bg512142,none,29,Feasible,206168,50000
bg512142,rothberg,29,Feasible,190545.625,50009
bg512142,cplex-default,173,Feasible,209098,71026
bg512142,cplex-polishing,173,Feasible,195411.5,50001
bg512142,maravilha,173,Feasible,192496.1,50252
bg512142,none,173,Feasible,209098,50000
bg512142,rothberg,173,Feasible,188132,50003
bg512142,cplex-default,281,Feasible,206730.5,73720
bg512142,cplex-polishing,281,Feasible,195229,50001
bg512142,maravilha,281,Feasible,189210.16667,50265
bg512142,none,281,Feasible,206730.5,50000
bg512142,rothberg,281,Feasible,190766.5,50007
bg512142,cplex-default,409,Feasible,198719,69306
bg512142,cplex-polishing,409,Feasible,190873.5,50001
bg512142,maravilha,409,Feasible,193711.5,50316
bg512142,none,409,Feasible,208651.16667,50000
bg512142,rothberg,409,Feasible,190959,50005
bg512142,cplex-default,541,Feasible,206060.75,72501
bg512142,cplex-polishing,541,Feasible,194880.5,50001
bg512142,maravilha,541,Feasible,188648.5,50257
bg512142,none,541,Feasible,206060.75,50000
bg512142,rothberg,541,Feasible,187927.75,50005
d10200,cplex-default,29,Feasible,12446,70650
d10200,cplex-polishing,29,Feasible,12447,50003
d10200,maravilha,29,Feasible,12438,50162
d10200,none,29,Feasible,12447,50000
d10200,rothberg,29,Feasible,12447,50001
d10200,cplex-default,173,Feasible,12450,69114
d10200,cplex-polishing,173,Feasible,12435,50004
d10200,maravilha,173,Feasible,12444,50240
d10200,none,173,Feasible,12454,50000
d10200,rothberg,173,Feasible,12449,50003
d10200,cplex-default,281,Feasible,12445,69633
d10200,cplex-polishing,281,Feasible,12436,50003
d10200,maravilha,281,Feasible,12442,50193
d10200,none,281,Feasible,12448,50000
d10200,rothberg,281,Feasible,12442,50001
d10200,cplex-default,409,Feasible,12445,72658
d10200,cplex-polishing,409,Feasible,12444,50002
d10200,maravilha,409,Feasible,12441,50254
d10200,none,409,Feasible,12455,50000
d10200,rothberg,409,Feasible,12455,50001
d10200,cplex-default,541,Feasible,12448,70827
d10200,cplex-polishing,541,Feasible,12443,50003
d10200,maravilha,541,Feasible,12441,50290
d10200,none,541,Feasible,12448,50000
d10200,rothberg,541,Feasible,12448,50002
d20200,cplex-default,29,Feasible,12266,87392
d20200,cplex-polishing,29,Feasible,12266,50003
d20200,maravilha,29,Feasible,12266,50523
d20200,none,29,Feasible,12266,50000
d20200,rothberg,29,Feasible,12266,50002
d20200,cplex-default,173,Feasible,12269,91823
d20200,cplex-polishing,173,Feasible,12260,50004
d20200,maravilha,173,Feasible,12261,50286
d20200,none,173,Feasible,12278,50000
d20200,rothberg,173,Feasible,12275,50003
d20200,cplex-default,281,Feasible,12285,91645
d20200,cplex-polishing,281,Feasible,12258,50005
d20200,maravilha,281,Feasible,12268,50587
d20200,none,281,Feasible,12285,50000
d20200,rothberg,281,Feasible,12261,50003
d20200,cplex-default,409,Feasible,12272,92641
d20200,cplex-polishing,409,Feasible,12267,50004
d20200,maravilha,409,Feasible,12284,50337
d20200,none,409,Feasible,12287,50000
d20200,rothberg,409,Feasible,12272,50007
d20200,cplex-default,541,Feasible,12272,93579
d20200,cplex-polishing,541,Feasible,12271,50004
d20200,maravilha,541,Feasible,12263,50261
d20200,none,541,Feasible,12281,50000
d20200,rothberg,541,Feasible,12277,50004
dc1c,cplex-default,29,Feasible,1781453.9501,74718
dc1c,cplex-polishing,29,Feasible,1779828.0101,50013
dc1c,maravilha,29,Feasible,1781438.1101,50229
dc1c,none,29,Feasible,1781453.9501,50000
dc1c,rothberg,29,Feasible,1780077.3801,50059
dc1c,cplex-default,173,Feasible,1804592.2501,78001
dc1c,cplex-polishing,173,Feasible,1800535.2601,50017
dc1c,maravilha,173,Feasible,1789641.5301,51808
dc1c,none,173,Feasible,1814863.0201,50000
dc1c,rothberg,173,Feasible,1790848.4301,50304
dc1c,cplex-default,281,Feasible,1802654.9101,78917
dc1c,cplex-polishing,281,Feasible,1789844.1601,50015
dc1c,maravilha,281,Feasible,1793256.9901,51449
dc1c,none,281,Feasible,1803285.7401,50000
dc1c,rothberg,281,Feasible,1781861.0201,50160
dc1c,cplex-default,409,Feasible,1790575.9601,77241
